Country & Variable (Combined),Country,M49,Variables,Variable,Units,Symbol,Symbol Description,Units,Symbol,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Brunei Darussalam, National Rainfall Index (NRI)",Brunei Darussalam,96,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,,"3,168.00",,"3,154.50","3,177.00","3,199.50","3,222.00","3,244.50","3,267.00","3,289.50",,"3,318.00","3,324.00","3,330.00","3,336.00","3,342.00",,"3,420.00","3,492.00","3,564.00","3,636.00","3,708.00",,"3,528.00","3,276.00","3,024.00",,"2,826.00","2,880.00","2,934.00",,"3,103.20","3,218.40","3,333.60","3,448.80",,"3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00","3,564.00",
"Brunei Darussalam, National Rainfall Index (NRI)",Brunei Darussalam,96,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,,"3,204.00",,"3,132.00",,,,,,,,"3,312.00",,,,,,"3,348.00",,,,,,"3,780.00",,,,"2,772.00",,,,"2,988.00",,,,,"3,564.00",,,,,,,,,,,,,,,,,,,,,
"Cambodia, National Rainfall Index (NRI)",Cambodia,116,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,,,,,"2,089.60","2,043.20","1,996.80","1,950.40",,"1,951.25","1,998.50","2,045.75",,"2,093.50",,"2,093.29","2,092.57","2,091.86","2,091.14","2,090.43","2,089.71",,"2,035.50","1,982.00","1,928.50",,"1,917.43","1,959.86","2,002.29","2,044.71","2,087.14","2,129.57",,"2,207.20","2,242.40","2,277.60","2,312.80",,"2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00","2,348.00",
"Cambodia, National Rainfall Index (NRI)",Cambodia,116,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,,,,,"2,136.00",,,,,"1,904.00",,,,"2,093.00",,"2,094.00",,,,,,,"2,089.00",,,,"1,875.00",,,,,,,"2,172.00",,,,,"2,348.00",,,,,,,,,,,,,,,,,,,
"Indonesia, National Rainfall Index (NRI)",Indonesia,360,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,,,,,"2,831.67","2,900.33",,"2,950.33","2,931.67","2,913.00","2,894.33","2,875.67",,"2,855.00",,"2,876.86","2,900.71","2,924.57","2,948.43","2,972.29","2,996.14",,"2,978.17","2,936.33","2,894.50","2,852.67","2,810.83",,"2,793.00",,"2,831.00","2,845.00","2,859.00","2,873.00","2,887.00","2,901.00","2,915.00",,"2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00","2,929.00",
"Indonesia, National Rainfall Index (NRI)",Indonesia,360,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,,,,,"2,763.00",,,"2,969.00",,,,,,"2,857.00",,"2,853.00",,,,,,,"3,020.00",,,,,,"2,769.00",,"2,817.00",,,,,,,,"2,929.00",,,,,,,,,,,,,,,,,,,
"Lao People's Democratic Republic, National Rainfall Index (NRI)",Lao People's Democratic Republic,418,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,"1,748.00","1,744.00","1,740.00","1,736.00","1,732.00","1,728.00","1,724.00",,"1,689.00",,"1,677.71","1,697.43","1,717.14","1,736.86","1,756.57","1,776.29",,"1,740.50","1,685.00","1,629.50",,"1,549.50","1,525.00","1,500.50",,"1,505.14","1,534.29","1,563.43","1,592.57","1,621.71","1,650.86",,"1,716.14","1,752.29","1,788.43","1,824.57","1,860.71","1,896.86",,"1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00","1,933.00",
"Lao People's Democratic Republic, National Rainfall Index (NRI)",Lao People's Democratic Republic,418,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,"1,752.00",,,,,,,,"1,720.00",,"1,658.00",,,,,,,"1,796.00",,,,"1,574.00",,,,"1,476.00",,,,,,,"1,680.00",,,,,,,"1,933.00",,,,,,,,,,,,,,,,,,
"Malaysia, National Rainfall Index (NRI)",Malaysia,458,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,"3,022.33","3,005.67","2,989.00","2,972.33","2,955.67",,"2,959.88","2,980.75","3,001.63","3,022.50","3,043.38","3,064.25","3,085.13",,"3,067.00","3,028.00","2,989.00",,"2,964.60","2,979.20","2,993.80","3,008.40",,"2,960.60","2,898.20","2,835.80","2,773.40",,"2,817.80","2,924.60","3,031.40","3,138.20",,"3,234.80","3,224.60","3,214.40","3,204.20",,"3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00","3,194.00",
"Malaysia, National Rainfall Index (NRI)",Malaysia,458,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,"3,039.00",,,,,,"2,939.00",,,,,,,,"3,106.00",,,,"2,950.00",,,,,"3,023.00",,,,,"2,711.00",,,,,"3,245.00",,,,,"3,194.00",,,,,,,,,,,,,,,,,,,
